,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,type_wine,Variety
201,France,Saint-Julien,Château Beychevelle,4.0,106,87,2017,red,blend
202,France,Languedoc,Clavel,4.0,106,18,2015,red,blend
203,Italy,Sicilia,Feudo Arancio,3.6,106,8,2016,red,blend
204,Italy,Castel San Lorenzo,Falesco,3.9,106,12,2014,red,blend
205,Italy,Sicilia,Cusumano,3.6,106,8,2018,red,Nero d'Avola
206,Germany,Pfalz,Knipser,4.2,106,40,2013,red,blend
207,Spain,Ribera del Duero,Baden Numen,3.8,106,11,2017,red,blend
208,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,4.0,106,22,2017,red,Pinot Noir
209,Spain,Castilla,Dominio de Eguren,3.7,106,6,2018,red,blend
210,France,Bordeaux,Bad Boy (Mauvais Garçon),3.9,106,17,2016,red,blend
211,France,Côte de Nuits Villages,Louis Jadot,4.0,106,32,2016,red,blend
212,Italy,Vino Nobile di Montepulciano,Talosa,3.9,106,18,2016,red,Montepulciano
213,Spain,Ribera del Duero,Gallego Zapatero,3.6,106,16,2014,red,blend
214,Spain,Rioja,Telmo Rodriguez,3.8,106,20,2014,red,blend
215,United States,California,Bonterra,3.8,106,27,2016,red,Merlot
216,France,Châteauneuf-du-Pape,Maison Bouachon,3.9,106,45,2015,red,blend
217,Germany,Pfalz,Ökonomierat Rebholz,3.9,106,21,2015,red,blend
218,Spain,Cariñena,San Valero,3.2,106,8,2014,red,blend
219,France,Hermitage,Paul Jaboulet Aîné,4.3,106,250,2016,red,blend
220,Spain,Catalunya,Ramón Roqueta,3.2,106,6,2018,red,Tempranillo
221,Austria,Burgenland,Pittnauer,3.9,106,22,2015,red,blend
222,Italy,Veneto,Stefano Accordini,3.8,106,10,2018,red,blend
223,France,Côtes du Roussillon,Domaine du Clos des Fées,4.1,106,53,2013,red,blend
224,Spain,Rioja,D. Mateos,3.8,106,16,2016,red,blend
225,Italy,Dolcetto d'Alba,Elvio Cogno,3.4,106,12,2017,red,Dolcetto
226,Italy,Barolo,Prunotto,4.1,106,69,2015,red,blend
227,Spain,Rioja,Gran Familia,3.5,106,6,2015,red,blend
228,Spain,Rioja,Campillo,4.2,106,40,2015,red,blend
229,France,Fronsac,Château la Vieille Cure,4.0,106,40,2005,red,blend
230,France,Ventoux,Xavier Vignon,3.6,106,8,2016,red,blend
231,Chile,Maipo Valley,Haras de Pirque,3.7,1060,16,2015,red,Cabernet Sauvignon
232,Italy,Salice Salentino,Marchese di Borgosole,3.9,1061,8,2016,red,blend
233,Italy,Chianti Classico,Isole e Olena,3.9,1063,21,2016,red,blend
234,Italy,Südtirol - Alto Adige,J. Hofstätter,3.6,1064,13,2016,red,blend
235,Italy,Brunello di Montalcino,Tenuta Il Poggione,4.2,1065,37,2014,red,Brunello
236,United States,Columbia Valley,Columbia Winery,3.8,1065,18,2015,red,Cabernet Sauvignon
237,France,Saint-Julien,Château Léoville Barton,4.4,1066,133,2009,red,blend
238,France,Pessac-Léognan,Château Smith Haut-Lafitte,4.4,1066,170,2005,red,blend
239,Other Countries,Other Region,Other Winery,3.4,1066,9,2013,red,Cabernet Sauvignon
240,Argentina,Mendoza,Catena,4.1,10676,14,2017,red,Malbec
241,France,Saint-Estèphe,Château Lafon-Rochet,4.2,1069,76,2009,red,blend
242,Italy,Amarone della Valpolicella Classico,Bolla,4.1,1069,29,2014,red,blend
